2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.809221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.913221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.914221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.918220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.918220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.924220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.924220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.928221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.928221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.934221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.934221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.938221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.938221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.943220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.944222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.950220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.950220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.954220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.955220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.958222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.959222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.963221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.963221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.967221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.968222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.972220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.973222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.978222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.978222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.984222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.984222", "message": "탐지 결과 획득", "data": {"count": 0}}
